Year,Deaths,Miles traveled (millions),Rate
1975,"44,525","1,330,074",3.35
1976,"45,523","1,409,163",3.23
1977,"47,878","1,476,567",3.24
1978,"50,331","1,548,213",3.25
1979,"51,093","1,529,133",3.34
1980,"51,091","1,520,857",3.36
1981,"49,301","1,550,271",3.18
1982,"43,945","1,592,481",2.76
1983,"42,589","1,649,106",2.58
1984,"44,257","1,716,768",2.58
1985,"43,825","1,774,762",2.47
1986,"46,087","1,838,240",2.51
1987,"46,390","1,924,327",2.41
1988,"47,087","2,025,586",2.32
1989,"45,582","2,107,040",2.16
1990,"44,599","2,147,501",2.08
1991,"41,508","2,172,214",1.91
1992,"39,250","2,239,828",1.75
1993,"40,150","2,296,585",1.75
1994,"40,716","2,357,588",1.73
1995,"41,817","2,422,775",1.73
1996,"42,065","2,482,202",1.69
1997,"42,013","2,560,373",1.64
1998,"41,501","2,625,367",1.58
1999,"41,717","2,691,335",1.55
2000,"41,945","2,749,803",1.53
2001,"42,196","2,781,462",1.52
2002,"43,005","2,855,756",1.51
2003,"42,884","2,890,893",1.48
2004,"42,836","2,962,513",1.45
2005,"43,510","2,989,807",1.46
2006,"42,708","3,014,116",1.42
2007,"41,259","3,032,399",1.36
2008,"37,423","2,973,509",1.26
2009,"33,883","2,977,591",1.14
2010,"32,999","2,966,506",1.11
2011,"32,479","2,946,131",1.1
2012,"33,782","2,969,433",1.14
2013,"32,894","2,988,280",1.1
2014,"32,744","3,025,656",1.08
2015,"35,485","3,095,373",1.15
2016,"37,806","3,174,408",1.19
2017,"37,473","3,212,347",1.17
2018,"36,835","3,240,327",1.14
2019,"36,096","3,261,772",1.11